dyad_season_year,dyad_ID,PackID,species,SA,season,season2,den,rend,winter,Cohesion,BreedPair,sex_combo.1,FF,MM,FM,Same,LargePred,Exploit,largeprey,SE,NE,West,Human,PCV,Long,Lat
PEC079_PEC082_den_2012,PEC079_PEC082,group2,coyote,Ontario_PrinceEdward,den,nw,1,0,0,0.226666667,0,male_male,0,1,0,1,0,1,0,0,1,0,0.439828708,1.885133317,-77.43975553,43.94224636
PEC079_PEC082_rend_2012,PEC079_PEC082,group2,coyote,Ontario_PrinceEdward,rend,nw,0,1,0,0.276669716,0,male_male,0,1,0,1,0,1,0,0,1,0,0.386472004,2.034300562,-77.44922624,43.93853976
PEC079_PEC082_winter_2011_2012,PEC079_PEC082,group2,coyote,Ontario_PrinceEdward,winter,winter,0,0,1,0.273178048,0,male_male,0,1,0,1,0,1,0,0,1,0,0.434358047,1.900159531,-77.44303808,43.9427926
PEC080_PEC088_den_2012,PEC080_PEC088,group3,coyote,Ontario_PrinceEdward,den,nw,1,0,0,0.104499722,0,male_male,0,1,0,1,0,1,0,0,1,0,0.456500718,1.885133317,-77.37699135,43.95985795
PEC080_PEC088_rend_2012,PEC080_PEC088,group3,coyote,Ontario_PrinceEdward,rend,nw,0,1,0,0.079507774,0,male_male,0,1,0,1,0,1,0,0,1,0,0.465097363,1.964186713,-77.37563555,43.95968245
PEC080_PEC088_winter_2011_2012,PEC080_PEC088,group3,coyote,Ontario_PrinceEdward,winter,winter,0,0,1,0.120407798,0,male_male,0,1,0,1,0,1,0,0,1,0,0.4755297,1.900159531,-77.37485784,43.96496238
PEC081_PEC131_winter_2012_2013,PEC081_PEC131,group4,coyote,Ontario_PrinceEdward,winter,winter,0,0,1,0.091849752,0,female_male,0,0,1,0,0,1,0,0,1,0,0.408708827,2.019190203,-77.44644368,43.94256948
PEC105_PEC106_rend_2012,PEC105_PEC106,group5,coyote,Ontario_PrinceEdward,rend,nw,0,1,0,0.393782383,1,female_male,0,0,1,0,0,1,0,0,1,0,0.556809424,2.072010696,-77.23215739,43.9760042
PEC105_PEC106_winter_2012_2013,PEC105_PEC106,group5,coyote,Ontario_PrinceEdward,winter,winter,0,0,1,0.676428078,1,female_male,0,0,1,0,0,1,0,0,1,0,0.554426672,2.038257178,-77.23215862,43.97663063
pmC028_pmC029_winter_2012_2013,pmC028_pmC029,MahoneyP2,coyote,Utah,winter,winter,0,0,1,0.278688525,0,male_male,0,1,0,1,1,1,0,0,0,1,0.084832475,2.05431945,-112.0589595,38.49615342
pmC028_pmC029_winter_2013_2014,pmC028_pmC029,MahoneyP2,coyote,Utah,winter,winter,0,0,1,0.571808511,0,male_male,0,1,0,1,1,1,0,0,0,1,0.085608607,2.000897891,-112.0570505,38.4726637
SC08M_SC11M_den_2015,SC08M_SC11M,Gaston,coyote,SouthCarolina_McCormick,den,nw,1,0,0,0.051446945,0,male_male,0,1,0,1,0,1,0,1,0,0,0.233153909,2.471472019,-82.15239086,33.92834888
SC08M_SC11M_rend_2015,SC08M_SC11M,Gaston,coyote,SouthCarolina_McCormick,rend,nw,0,1,0,0.132420091,0,male_male,0,1,0,1,0,1,0,1,0,0,0.223032477,2.56638257,-82.15775783,33.92677736
SC08M_SC11M_winter_2014_2015,SC08M_SC11M,Gaston,coyote,SouthCarolina_McCormick,winter,winter,0,0,1,0.07518797,0,male_male,0,1,0,1,0,1,0,1,0,0,0.234507386,2.667144967,-82.15528387,33.92897465
SC10F_SC13M_den_2015,SC10F_SC13M,Clayton,coyote,SouthCarolina_McCormick,den,nw,1,0,0,0.528358209,0,female_male,0,0,1,0,0,1,0,1,0,0,0.068366089,2.477607048,-82.16525686,33.96528202
SC10F_SC13M_den_2016,SC10F_SC13M,Clayton,coyote,SouthCarolina_McCormick,den,nw,1,0,0,0.301886792,0,female_male,0,0,1,0,0,1,0,1,0,0,0.061671479,2.52996008,-82.16815873,33.96412108
SC10F_SC13M_rend_2015,SC10F_SC13M,Clayton,coyote,SouthCarolina_McCormick,rend,nw,0,1,0,0.516272189,0,female_male,0,0,1,0,0,1,0,1,0,0,0.069724865,2.577682272,-82.16544649,33.96493664
